BioSample,lat,long,Organism
CCGPMC010_B1316,34.012827,-116.585884,59-Ursus
CCGPMC010_B0541,41.040779,-123.998566,59-Ursus
CCGPMC010_B1347,39.702961,-120.421143,59-Ursus
CCGPMC010_B1794,39.226127,-120.814893,59-Ursus
CCGPMC010_B1854,38.466835,-119.271153,59-Ursus
CCGPMC010_B2222,40.943668,-123.385982,59-Ursus
CCGPMC010_B1355,34.001016,-116.693859,59-Ursus
Ursuamer_B2369,40.791961,-121.938531,59-Ursus
CCGPMC010_B1677,39.088262,-123.265381,59-Ursus
CCGPMC010_B1972,41.550294,-123.755975,59-Ursus
CCGPMC010_B1136,35.509335,-119.157715,59-Ursus
CCGPMC010_B1722,36.707058,-118.768234,59-Ursus
CCGPMC010_B1717,37.425784,-119.587711,59-Ursus
CCGPMC010_B1606,36.78965,-118.3076,59-Ursus
CCGPMC010_B2273,41.06291,-122.046088,59-Ursus
CCGPMC010_B1933,39.047379,-122.746107,59-Ursus
CCGPMC010_B0870,38.736769,-120.46016,59-Ursus
CCGPMC010_B2050,39.645368,-122.88495,59-Ursus
Ursuamer_B2152,34.266861,-117.705434,59-Ursus
CCGPMC010_B0624,37.508364,-120.039024,59-Ursus
CCGPMC010_B1604,39.531159,-120.685899,59-Ursus
CCGPMC010_B0622,37.549026,-119.243932,59-Ursus
CCGPMC010_B0640,41.297155,-122.428379,59-Ursus
CCGPMC010_B2221,36.227104,-119.397144,59-Ursus
CCGPMC010_B0638,41.941106,-121.431885,59-Ursus
CCGPMC010_B2588,34.411215,-118.944855,59-Ursus
CCGPMC010_B2432,41.159091,-121.296794,59-Ursus
CCGPMC010_B2164,39.489769,-121.040075,59-Ursus
CCGPMC010_B2379,39.654852,-121.531762,59-Ursus
CCGPMC010_B1803,37.612987,-118.901856,59-Ursus
CCGPMC010_B1906,38.713952,-122.603615,59-Ursus
CCGPMC010_B2112,41.073209,-121.563683,59-Ursus
CCGPMC010_B0751,37.995704,-120.059631,59-Ursus
Ursuamer_B0814,40.633127,-122.728529,59-Ursus
CCGPMC010_B0688,40.178828,-120.58467,59-Ursus
CCGPMC010_B1286,36.264207,-118.858337,59-Ursus
CCGPMC010_B0572,34.862345,-119.55168,59-Ursus
CCGPMC010_B0604,39.696621,-123.735151,59-Ursus
CCGPMC010_B2513,36.030221,-118.414764,59-Ursus
CCGPMC010_B2014,39.635759,-120.671659,59-Ursus
CCGPMC010_B1810,39.194106,-120.552375,59-Ursus
CCGPMC010_B2272,36.863936,-118.346716,59-Ursus
CCGPMC010_B1073,40.869231,-122.225634,59-Ursus
CCGPMC010_B1610,35.00167,-120.290712,59-Ursus
CCGPMC010_B1119,39.524635,-120.371886,59-Ursus
CCGPMC010_B2200,34.148979,-116.769715,59-Ursus
CCGPMC010_B0635,36.969942,-118.925264,59-Ursus
CCGPMC010_B2582,34.515397,-120.026193,59-Ursus
CCGPMC010_B2422,41.358739,-122.883165,59-Ursus
Ursuamer_B1993,40.701283,-122.630178,59-Ursus
CCGPMC010_B0633,36.990042,-119.090745,59-Ursus
CCGPMC010_B1634,40.809973,-121.872216,59-Ursus
CCGPMC010_B1848,40.360832,-122.939625,59-Ursus
CCGPMC010_B1148,40.06269,-122.83453,59-Ursus
CCGPMC010_B0962,37.684872,-120.615362,59-Ursus
Ursuamer_B2402,35.594125,-118.530243,59-Ursus
CCGPMC010_B0658,39.631077,-123.485813,59-Ursus
CCGPMC010_B2401,37.840878,-120.881305,59-Ursus
Ursuamer_B2587,34.412999,-119.002533,59-Ursus
CCGPMC010_B0851,41.527642,-122.6255,59-Ursus
CCGPMC010_B1739,40.542804,-123.537015,59-Ursus
Ursuamer_B2483,34.21718,-117.499228,59-Ursus
CCGPMC010_B2575,40.673454,-121.386885,59-Ursus
CCGPMC010_B2519,38.258315,-120.003943,59-Ursus
CCGPMC010_B0740,37.875074,-119.829769,59-Ursus
CCGPMC010_B1668,40.962371,-122.656218,59-Ursus
CCGPMC010_B0450,39.297543,-122.087393,59-Ursus
CCGPMC010_B2515,41.933832,-124.144492,59-Ursus
CCGPMC010_B1623,40.644136,-123.196849,59-Ursus
CCGPMC010_B0873,37.430766,-119.807251,59-Ursus
CCGPMC010_B1395,40.994929,-121.404419,59-Ursus
CCGPMC010_B1622,38.9826,-123.651916,59-Ursus
CCGPMC010_B1704,40.180424,-124.008578,59-Ursus
CCGPMC010_B2591,41.129374,-121.243336,59-Ursus
CCGPMC010_B1778,40.169387,-122.650531,59-Ursus
Ursuamer_B2161,40.772212,-120.804239,59-Ursus
CCGPMC010_B2015,38.826665,-119.942764,59-Ursus
CCGPMC010_B2139,41.560312,-124.059134,59-Ursus
CCGPMC019b_B2629,35.395805,-120.367595,59-Ursus
CCGPMC010_B1812,40.905483,-123.019592,59-Ursus
CCGPMC019b_B2478,34.23793,-118.03668,59-Ursus
CCGPMC010_B2207,38.820001,-120.929698,59-Ursus
CCGPMC010_B2074,34.265814,-118.190056,59-Ursus
CCGPMC019b_B2638,38.525353,-122.315481,59-Ursus
CCGPMC019b_B2468,35.695006,-118.609581,59-Ursus
CCGPMC010_B2266,38.673988,-119.619977,59-Ursus
CCGPMC019b_B2338,39.664735,-122.578237,59-Ursus
CCGPMC010_B1700,40.392882,-121.296876,59-Ursus
CCGPMC010_B1888,39.913109,-123.234001,59-Ursus
CCGPMC010_B1932,41.921642,-123.612602,59-Ursus
CCGPMC010_B2002,41.213243,-121.437584,59-Ursus
CCGPMC019b_B2644,35.378439,-120.694463,59-Ursus
CCGPMC019b_B1646,34.226869,-117.140703,59-Ursus
CCGPMC019b_B2541,38.141169,-119.228388,59-Ursus
CCGPMC019b_B2631,41.636418,-120.785555,59-Ursus
CCGPMC019b_B2488,34.66612,-118.958237,59-Ursus
CCGPMC019b_B2490,39.995311,-121.159054,59-Ursus
CCGPMC010_B2554,41.281912,-122.279519,59-Ursus
CCGPMC019b_B2275,40.207869,-121.928331,59-Ursus
CCGPMC010_B2340,39.267264,-121.315072,59-Ursus
CCGPMC010_B1829,41.294252,-123.526747,59-Ursus
CCGPMC019b_B2296,41.431085,-121.911247,59-Ursus
CCGPMC010_B2197,40.081787,-121.551901,59-Ursus
Ursuamer_B1849,40.011616,-120.828953,59-Ursus
CCGPMC019b_B2485,34.749707,-119.357484,59-Ursus
CCGPMC019b_B2466,41.003747,-121.383917,59-Ursus
CCGPMC010_B2213,38.797501,-119.773316,59-Ursus
CCGPMC019b_B2464,41.012526,-120.890294,59-Ursus
CCGPMC019b_B2453,40.554706,-122.766964,59-Ursus
CCGPMC010_B1834,40.818001,-123.818009,59-Ursus
CCGPMC010_B2252,39.400133,-120.400949,59-Ursus
CCGPMC010_B1784,39.043121,-122.463134,59-Ursus
CCGPMC010_B1828,35.083026,-118.528608,59-Ursus
CCGPMC010_B1835,34.086282,-116.917816,59-Ursus
CCGPMC010_B2194,39.100572,-121.190063,59-Ursus
CCGPMC010_B1197,34.144061,-116.998258,59-Ursus
CCGPMC019b_B1302,39.356574,-122.705711,59-Ursus